casa,bairro,garagem,suite,banheiro,edicula,dist.mercado,area_const.,area_terreno,acab.,cobertura,estrutura,conserv.,piscina,dormitorio,dep.emp.,lav.,pecas,idade_aparente,valor_RS
1,5,1,1,2,1,3,183,500,1,4,3,1,0,2,1,1,8,2,120000
2,4,1,1,3,0,2,216,977,1,4,3,1,0,3,1,1,13,2,160000
3,4,1,1,3,0,2,155,420,2,4,3,1,0,3,1,1,12,2,110000
4,2,1,1,2,0,1,170,490,2,4,3,1,0,2,0,1,7,3,70000
5,4,1,1,2,1,1,160,480,2,4,3,3,0,2,0,1,9,3,85000
6,5,1,1,2,1,3,160,500,2,4,3,3,0,3,0,1,8,3,100000
7,5,1,1,2,1,3,134,1000,2,4,3,2,0,4,0,1,10,4,160000
8,3,1,0,1,0,3,70,300,1,2,1,1,0,3,0,0,5,1,30000
9,3,0,0,1,0,2,198,350,1,1,1,3,0,2,0,0,5,3,28000
10,3,1,0,1,0,2,113,400,2,2,1,2,0,3,0,0,8,2,35000
11,5,1,0,2,1,3,238,1200,2,4,3,2,0,4,0,1,9,1,150000
12,3,1,0,2,0,2,158,315,2,1,1,2,0,4,0,1,12,1,45000
13,3,1,0,1,0,3,124,300,2,4,3,2,0,3,0,0,8,1,30000
14,5,0,0,1,0,3,95,340,2,2,1,1,0,2,0,0,6,1,28000
15,4,1,1,1,1,3,187,490,3,4,3,2,0,2,1,1,12,4,140000
16,4,1,1,1,1,1,242,490,3,4,3,2,0,3,1,1,13,3,130000
17,3,0,0,2,0,1,100,180,2,4,3,2,0,3,0,1,8,5,50000
18,3,1,1,1,0,1,180,786,3,4,3,3,0,2,1,1,10,3,150000
19,5,1,1,3,1,1,380,480,2,3,3,2,0,3,0,1,14,5,150000
20,4,1,1,1,1,1,240,490,3,4,3,2,1,2,1,1,11,2,135000
21,3,1,1,1,1,2,184,1000,2,4,3,3,1,2,1,1,13,3,180000
22,3,1,0,2,0,3,140,446,2,1,2,2,0,3,0,1,6,2,40000
23,5,1,1,1,0,3,400,600,2,4,3,2,0,5,1,1,14,3,150000
24,4,1,0,1,0,3,110,270,2,4,3,3,0,2,0,1,5,4,60000
25,2,0,0,1,0,3,120,300,2,4,3,1,0,3,0,1,6,3,15000
26,2,1,0,1,0,3,150,300,2,4,3,3,0,3,0,1,6,5,45000
27,5,1,1,2,0,3,400,750,2,4,3,3,0,3,0,1,11,3,165000
28,5,1,0,1,0,3,130,300,2,2,1,1,0,3,0,0,5,3,95000
29,4,1,1,1,0,3,200,400,2,4,3,3,0,3,0,0,9,6,100000
30,4,1,1,2,1,1,244,500,2,4,3,2,0,3,1,1,13,6,130000
31,5,1,1,1,1,1,113,300,2,4,3,2,0,2,1,0,9,4,90000
32,5,1,1,2,1,1,220,500,4,4,3,2,1,3,1,1,15,3,185000
33,5,1,1,1,1,3,92,650,2,4,3,3,0,2,0,1,7,5,90000
34,5,1,1,1,0,3,123,300,2,4,3,2,0,2,0,1,7,5,15000
35,5,1,0,1,0,3,150,1000,1,1,1,1,0,2,0,1,7,1,150000
36,5,1,1,2,1,3,200,400,2,4,4,2,0,2,1,1,7,2,150000
37,5,1,0,1,0,3,100,1000,1,1,1,1,0,2,0,1,5,1,140000
38,4,1,0,1,0,2,70,490,1,1,1,1,0,2,0,1,5,1,30000
39,5,1,0,1,0,3,100,950,2,2,1,1,0,3,0,1,7,1,60000
40,5,1,0,1,0,3,80,475,2,2,1,1,0,3,0,1,7,1,45000
41,3,0,0,1,0,2,70,600,1,3,3,3,0,2,0,0,5,5,30000
42,3,1,1,1,0,2,180,640,2,4,3,3,0,2,1,1,10,6,90000
43,2,0,1,2,0,2,70,480,2,4,3,3,0,1,0,1,8,5,50000
44,3,1,1,1,0,1,115,250,2,4,3,3,0,2,0,1,8,4,70000
45,3,1,1,1,0,1,160,450,2,4,3,3,1,2,1,1,9,1,130000
46,3,1,1,2,1,3,325,225,3,4,4,3,0,4,1,1,16,6,180000
47,5,1,1,2,0,3,320,450,3,4,4,3,0,2,0,0,13,4,290000
48,2,1,0,1,0,2,116,300,2,3,3,2,0,3,0,0,6,3,50000
49,5,1,1,3,0,3,180,500,2,4,3,3,0,3,0.5,1,12,5,98000
50,2,1,0,1,0,3,100,800,2,3.5,3,2,0,2,0.5,0,5,4,65000
51,3,1,0,1,0,2,80,390,2,2,3,1,0,3,0.5,1,6,2,40000
